Date,Invested In,Round,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor
"Sep, 2016",DefinedCrowd,$1.1M / Seed,Portugal Ventures,Busy Angels,Amazon Alexa Fund,Sony Innovation Fund,SWAN Venture Fund,,,,,,,,,,,,,,,,
"Apr, 2016",Doinn,undisclosed amount / Seed(Lead),Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2016",Musikki,$1M / Venture (Lead),Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2016",Stemmatters,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2016",OutSystems,$55M / Series C,Portugal Ventures,Espirito Santo Ventures,North Bridge Venture Partners & Growth Equity,,,,,,,,,,,,,,,,,,
"Feb, 2016",Storyoapp,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2016",APTOIDE,$4M / Series A,Portugal Ventures,Golden Gate Ventures,Gobi Partners,e.ventures,,,,,,,,,,,,,,,,,
"Dec, 2015",Petable,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2015",VideObserver,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Nov, 2015",Chic by Choice,€1.5M / Venture (Lead),Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"Nov, 2015",PeekMed,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Nov, 2015",Josefinas,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2015",MICE - Molds,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2015",Stukio,$785k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Sep, 2015",Codeplace,€700k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2015",EasyEasyApps,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2015",esolidar,$600k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2015",boomApp,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2015",Graphenest - Advanced Nanotechnology,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2015",Cubo,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2015",BitSight Technologies,$23M / Series B,Portugal Ventures,Commonwealth Capital Ventures,Flybridge Capital Partners,Globespan Capital Partners,Menlo Ventures,SHAUN MCCONNON,Singtel Innov8,The Perkins Fund,Comcast Ventures,,,,,,,,,,,,
"Jun, 2015",Follow Inspiration,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2015",IMMUNETHEP,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2015",Bica Studios,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2015",Landing.jobs,€750k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2015",B-GUEST,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2015",MYGON,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2015",Bullet Solutions,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2015",Xhockware,€800k / Convertible Note,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2015",PepFeed,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2015",TOPDOX,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2015",iClio,€1M / Convertible Note,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2015",Followprice,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2015",Zaask,€1.4M / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"Jan, 2015",INVINE,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Nov, 2014",Principle Power,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2014",Moodoptic,€370k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2014",ShiftForward,undisclosed amount / Seed,Portugal Ventures,Brian Fitzpatrick,Florian Heinemann,,,,,,,,,,,,,,,,,,
"Aug, 2014",Asinus Atlanticus,€85k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2014",Processware,€1M / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2014",XTourMaker,€600k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2014",B-PARTS.com,€650k / Seed,Portugal Ventures,Private Group of BA,,,,,,,,,,,,,,,,,,,
"Jul, 2014",GuestU,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2014",Whizztek S.A.,€750k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2014",Chic by Choice,€500k / Seed,Portugal Ventures,Faber ventures,Edge Group,Portuguese venture capital groups,,,,,,,,,,,,,,,,,
"Jun, 2014",SABE Extend,€460k / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"May, 2014",Transactional Track Record,€1M / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"May, 2014",Magnomics,€220k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"May, 2014",Passworks,$1M / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"May, 2014",Wizdee,€760k / Seed,Portugal Ventures,Novabase capital,,,,,,,,,,,,,,,,,,,
"Apr, 2014",Liquid,$1M / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"Apr, 2014",Medical Port,€440.4k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2014",Indie Campers,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2014",Friday,€1.2M / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2014",Omniflow,€385k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2014",Skaphandrus,€35k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2014",Muzzley,$1.3M / Seed (Lead),Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2014",Xhockware,€324k / Seed,Portugal Ventures,Busy Angels,,,,,,,,,,,,,,,,,,,
"Feb, 2014",iClio,€650k / Seed,Portugal Ventures,Busy Angels,,,,,,,,,,,,,,,,,,,
"Jan, 2014",MyChild,€665k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2013",Girissima,€1M / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2013",Petsys Electronics,€915k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2013",Jscrambler,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2013",Kinematix,$2.6M / Series B (Lead),Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2013",iM3Dical,€750k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Sep, 2013",GetSocial,€630k / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"Sep, 2013",Streambolico,€700k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Aug, 2013",youbeQ - Maps With Life,undisclosed amount / Seed,Portugal Ventures,Busy Angels,,,,,,,,,,,,,,,,,,,
"Aug, 2013",G3P Technologies,€363k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Perceive3D,€432.5k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Treat U,€760k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Coimbra Genomics,€595k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Gleam,€940k / Seed,Portugal Ventures,Faber ventures,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Mediaomics,€410k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2013",Tuizzi,€450k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2013",Zaask,€740k / Seed,Portugal Ventures,Shilling Capital,Busy Angels,,,,,,,,,,,,,,,,,,
"May, 2013",APTOIDE,€700k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"May, 2013",Lymphact,€275k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2013",GreenFiber Tech,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Mar, 2013",Muzzley,$65k / Seed,Portugal Ventures,Plug and Play,,,,,,,,,,,,,,,,,,,
"Feb, 2013",NutriVentures,undisclosed amount / Seed,Portugal Ventures,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,
"Jan, 2012",Eneida Wireless & Sensors,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2012",Abyssal SA,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2010",Biomode - Biomolecular Determination,€300k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2010",Luzitin,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2010",Thelial Technologies,€300k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
2010,Pharma 73,€300k / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jul, 2009",GuestCentric Systems,$4M / Venture (Lead),Portugal Ventures,Turismo Capital,,,,,,,,,,,,,,,,,,,
"Sep, 2008",Critical Links,$5.7M / Series A,Portugal Ventures,Ask/ISQ,Change Partners,Critical SGPS (holding),,,,,,,,,,,,,,,,,
"May, 2008",Displax,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jan, 2008",Science4you Spain,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2007",Gene PreDiT,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Oct, 2007",Critical Links,$5.7M / Series A,Portugal Ventures,Ask/ISQ,Change Partners,,,,,,,,,,,,,,,,,,
"Jan, 2007",FiberSensing,$3.11M / Venture,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Sep, 2006",BERD,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2006",GenIbet,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2005",Biosurfit,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2005",Biotrend,undisclosed amount / Seed,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Feb, 2015","PETAPILOT, S.A.",undisclosed amount / Seed,Ask/ISQ,,,,,,,,,,,,,,,,,,,,
"Oct, 2015",Codacy,$1.1M / Seed,Espirito Santo Ventures,Caixa Capital,Faber ventures,Henrique Castro,JOIN Capital,,,,,,,,,,,,,,,,
"Aug, 2015",Tradiio,€750k / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
"May, 2015",Feedzai,$17.5M / Series B,Espirito Santo Ventures,Oak HC/FT,Capital One Growth Ventures,Sapphire Ventures,,,,,,,,,,,,,,,,,
"Mar, 2015",Tradiio,€850k / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2014",Tradiio,€250k / Seed,Espirito Santo Ventures,Exago,,,,,,,,,,,,,,,,,,,
"Nov, 2013",Codacy,$500k / Seed,Espirito Santo Ventures,Faber ventures,Seedcamp,,,,,,,,,,,,,,,,,,
"Nov, 2013",LaserLeap,undisclosed amount / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
2013,Ynvisible,undisclosed amount / Series A,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
2013,Heart Genetics,undisclosed amount / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
2013,Ecofoot,undisclosed amount / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
"Dec, 2012",Muzzley,$520k / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
"Sep, 2012",Ubiquity Global Services,$4M / Series A (Lead),Espirito Santo Ventures,Pritzker/Vlock,,,,,,,,,,,,,,,,,,,
"Mar, 2012",iosil Energy,$13.5M / Private Equity,Espirito Santo Ventures,Applied Ventures,BankInvest,Bekaert,Cycad Group,EnerTech Capital,EPIC Ventures,Gideon Hixon Fund,Milcom Technologies,SiC Processing,,,,,,,,,,,
2012,WeDuc,undisclosed amount / Series A,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
2012,Equigerminal,undisclosed amount / Seed,Espirito Santo Ventures,,,,,,,,,,,,,,,,,,,,
