SCR,FCR,Company,Data da última verificação do website,Country (if different than PT),Other info,Stage,Sector,Data Investimento,Fonte,Notas
ES Ventures,ESV I,Banco Best,09/2016,,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Clarity,09/2016,,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Contact,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Espírito Santo Interaction,09/2016,,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Hotelnet,09/2016,,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Megamedia,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Megamedia,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Milcom,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Novabase,09/2016,,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Quadriga,09/2016,,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Vortal,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV I,Yunit,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,AquaSpy,09/2016,EUA,,,cleantech,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Atraverda,09/2016,UK,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Chipidea,09/2016,,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Coreworks,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Global Active,09/2016,,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Iosil,09/2016,EUA,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Maló Clinic,09/2016,,,,healthcare & well-being,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Multiwave,09/2016,,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Nanosolar,09/2016,EUA,,,cleantech,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Oceanlinx,09/2016,AUS,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Ophtalmopharma,09/2016,Suiça,,,,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,OutSystems,09/2016,,,,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Prepaid,09/2016,UK,,Exited,IT,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Sousacamp,09/2016,,,,healthcare & well-being,,http://www.es-ventures.com/en/portfolio/,
ES Ventures,ESV II,Superbac,09/2016,BR,,,cleantech,,http://www.es-ventures.com/en/portfolio/,
